"sigla_uf","ano","percentual_alfabetizado_medio","nivel"
"MT","2023","55.03","UF"
"SP","2023","51.91","UF"
"BR","2023","54.25125","BRASIL"
"MS","2023","47.45","UF"
"RS","2023","63.43","UF"
"AM","2023","52.2","UF"
"MA","2023","56.43","UF"
"SE","2023","31.3","UF"
"PR","2023","73.12","UF"
"SC","2023","61.38","UF"
"PE","2023","58.95","UF"
"GO","2023","66.74","UF"
"MG","2023","59.81","UF"
"RN","2023","37.24","UF"
"AL","2023","43.88","UF"
"TO","2023","43.72","UF"
"RJ","2023","52.13","UF"
"BA","2023","36.78","UF"
"PI","2023","52.48","UF"
"CE","2023","84.46","UF"
"RO","2023","64.6","UF"
"ES","2023","67.93","UF"
"PA","2023","48.38","UF"
"PB","2023","51.12","UF"
"AP","2023","41.56","UF"
"BA","2024","35.96","UF"
"MA","2024","59.64","UF"
"SP","2024","58.13","UF"
"AM","2024","49.17","UF"
"SC","2024","62.02","UF"
"PE","2024","60.79","UF"
"PI","2024","59.82","UF"
"RJ","2024","55.25","UF"
"RS","2024","44.67","UF"
"BR","2024","56.611999999999995","BRASIL"
"MT","2024","60.59","UF"
"AL","2024","48.63","UF"
"RN","2024","39.29","UF"
"CE","2024","85.31","UF"
"SE","2024","38.39","UF"
"AP","2024","46.62","UF"
"MS","2024","55.87","UF"
"AC","2024","51.38","UF"
"PA","2024","48.2","UF"
"PB","2024","55.96","UF"
"MG","2024","72.07","UF"
"TO","2024","50.07","UF"
"ES","2024","71.69","UF"
"PR","2024","70.42","UF"
"RO","2024","62.62","UF"
"GO","2024","72.74","UF"
